,gdp_growth_rate,unemployment_rate,inflation_rate,target_interest_rate,total_securities_holdings,loan_to_deposit_ratio,deposit_interest_rate,loans_interest_rate,consumer_loan_focus
0,0.0405,0.0489,0.021,0.0105,0.008,0.7631,0.0109,0.0552,0.1113
1,0.0458,0.0593,0.0177,0.0194,0.0104,0.5886,0.0106,0.0453,0.2546
2,0.0293,0.0352,0.0236,0.0084,0.0012,0.6443,0.0136,0.0326,0.4927
3,0.0424,0.0582,0.0251,0.0078,0.0015,0.7557,0.002,0.0343,0.2236
4,0.0453,0.0693,0.0122,0.012,0.0314,0.66,0.0033,0.0533,0.1566
5,0.038,0.075,0.015,0.009,0.04,0.7,0.005,0.04,0.3
6,0.035,0.08,0.018,0.0075,0.05,0.75,0.0075,0.035,0.4
7,0.032,0.085,0.02,0.005,0.06,0.7,0.01,0.03,0.45
8,0.035,0.087,0.021,0.0075,0.05,0.75,0.0075,0.0275,0.4
9,0.03,0.09,0.02,0.005,0.06,0.7,0.01,0.025,0.4
